,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
1502,Shikha Subas Pandey,1989-05-12,34,Right hand Bat,Right arm Medium,Allrounder,5,Shikha Subas Pandey,62,2014-2023,208,26,13.0,0,43,26.16,0,18,0,-13.16,34,26,Not Out,3,14,9
1504,Hardik Himanshu Pandya,1993-10-11,30,Right hand Bat,Right arm Medium fast,Allrounder,6,Hardik Himanshu Pandya,92,2016-2023,1348,71,25.43,0,73,26.71,0,45,0,-1.27,61,29,Not Out,4,16,7
1505,Krunal Himanshu Pandya,1991-03-24,32,Left hand Bat,Slow Left arm Orthodox,Allrounder,10,Krunal Himanshu Pandya,19,2018-2021,124,26,24.8,0,15,36.93,0,8,0,-12.13,11,7,Not Out,4,36,3
1518,Axar Rajeshbhai Patel,1994-01-20,30,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,12,Axar Rajeshbhai Patel,52,2015-2024,361,65,19.0,0,49,24.2,0,16,0,-5.2,35,16,Out,3,9,9
1520,Harshal Vikram Patel,1990-11-23,33,Right hand Bat,Right arm Medium,Bowler,11,Harshal Vikram Patel,25,2021-2023,77,18,12.83,0,29,26.55,0,5,0,-13.71,18,5,Out,4,25,2
1527,Irfan Khan Pathan,1984-10-27,39,Left hand Bat,Left arm Medium fast,Allrounder,12,Irfan Khan Pathan,24,2006-2012,172,33,24.57,0,28,22.07,0,2,0,2.5,14,8,Not Out,3,16,6
1529,Anuja Arun Patil,1992-06-28,31,Right hand Bat,Right arm Offbreak,Bowler,2,Anuja Arun Patil,50,2012-2019,386,54,17.54,0,48,21.0,0,17,0,-3.45,29,20,Not Out,3,14,7
1531,Shreyanka Rajesh Patil,2002-07-31,21,Right hand Bat,Right arm Offbreak,Allrounder,4,Shreyanka Rajesh Patil,6,2023-2024,11,7,11.0,0,8,19.75,0,3,0,-8.75,2,4,Not Out,3,19,1
1533,Poonam Yadav,1991-08-24,32,Right hand Bat,Legbreak Googly,Bowler,5,Poonam Yadav,72,2013-2022,14,4,2.8,0,98,15.25,0,15,0,-12.45,44,26,Out,4,9,9
1537,Snehal Nitin Pradhan,1986-03-18,37,Right hand Bat,Right arm Medium fast,Middle order Batter,3,Snehal Nitin Pradhan,4,2011-2011,2,2,2.0,0,6,10.66,0,1,0,-8.66,1,3,Not Out,3,30,0
1551,Suresh Kumar Raina,1986-11-27,37,Left hand Bat,Right arm Offbreak,Middle order Batter,20,Suresh Kumar Raina,78,2006-2018,1605,101,29.18,1,13,34.0,0,42,0,-4.81,50,28,Out,2,6,12
1557,Sneh Rana,1994-02-18,29,Right hand Bat,Right arm Offbreak,Bowling Allrounder,6,Sneh Rana,25,2014-2023,76,16,12.66,0,24,21.75,0,12,0,-9.08,15,10,Out,3,9,9
1561,Punam Ganesh Raut,1989-10-14,34,Right hand Bat,Right arm Offbreak,Opening Batter,5,Punam Ganesh Raut,35,2009-2014,719,75,27.65,0,3,9.66,0,5,0,17.98,21,14,Out,3,12,5
1562,Ravi Bishnoi,2000-09-05,23,Right hand Bat,Legbreak Googly,Bowler,6,Ravi Bishnoi,24,2022-2024,24,8,6.0,0,36,19.52,0,7,0,-13.52,18,4,Not Out,4,16,2
1572,Arundhati Reddy,1997-10-04,26,Right hand Bat,Right arm Medium fast,Bowler,6,Arundhati Reddy,26,2018-2021,73,22,6.63,0,18,36.05,0,7,0,-29.41,12,13,Out,2,19,3
1573,Renuka Singh Thakur,1996-01-02,28,Right hand Bat,Right arm Medium fast,Bowler,4,Renuka Singh Thakur,38,2021-2024,7,2,3.5,0,39,22.66,1,3,0,-19.16,17,19,Not Out,5,15,3
1575,Jemimah Ivan Rodrigues,2000-09-05,23,Right hand Bat,Right arm Offbreak,Middle order Batter,9,Jemimah Ivan Rodrigues,92,2018-2024,1944,76,29.45,0,1,50.0,0,23,0,-20.54,51,35,Out,1,9,6
