,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
3717,Karishma Ramharack,1995-01-20,29,Left hand Bat,Right arm Offbreak,Bowler,3,Karishma Ramharack,25,2019-2023,11,3,5.5,0,18,26.16,0,4,0,-20.66,7,17,Not Out,3,8,4
3718,Ravindranath Rampaul,1984-10-15,39,Left hand Bat,Right arm Fast medium,Bowler,10,Ravindranath Rampaul,27,2007-2021,15,8,7.5,0,31,25.9,0,2,0,-18.4,11,14,Out,3,16,14
3719,Raymon Anton Reifer,1991-05-11,32,Left hand Bat,Left arm Medium fast,Allrounder,12,Raymon Anton Reifer,3,2022-2023,46,27,23.0,0,1,60.0,0,0,0,-37.0,1,2,Out,1,42,1
3723,Andre Dwayne Russell,1988-04-29,35,Right hand Bat,Right arm Fast,Allrounder,35,Andre Dwayne Russell,75,2011-2024,955,71,21.7,0,49,34.14,0,18,0,-12.43,40,28,Out,3,19,13
3724,Sherfane Eviston Rutherford,1998-08-15,25,Left hand Bat,Right arm Fast medium,Middle order Batter,21,Sherfane Eviston Rutherford,12,2018-2024,212,67,23.55,0,1,72.0,0,3,0,-48.44,5,6,Not Out,1,21,6
3726,Daren Julius Garvey Sammy,1983-12-20,40,Right hand Bat,Right arm Medium,Allrounder,18,Daren Julius Garvey Sammy,68,2007-2017,587,42,17.26,0,44,25.36,1,31,0,-8.09,36,29,Not Out,5,26,10
3737,Shakera Casandra Selman,1989-09-01,34,Right hand Bat,Right arm Medium,Bowler,6,Shakera Casandra Selman,96,2008-2023,61,12,8.71,0,51,28.23,0,26,0,-19.52,49,41,Not Out,3,23,15
3739,Romario Shepherd,1994-11-26,29,Right hand Bat,Right arm Fast medium,Bowling Allrounder,11,Romario Shepherd,35,2020-2024,317,44,28.81,0,37,28.64,0,7,0,0.16,14,16,Not Out,4,31,4
3743,Lendl Mark Platter Simmons,1985-01-25,39,Right hand Bat,Right arm Medium fast,Top order Batter,29,Lendl Mark Platter Simmons,68,2007-2021,1527,91,26.78,0,6,12.0,0,35,0,14.78,33,31,Not Out,4,19,14
3744,Kevin Sinclair,1999-11-23,24,Right hand Bat,Right arm Offbreak,Bowler,4,Kevin Sinclair,6,2021-2021,3,3,3.0,0,4,37.5,0,3,0,-34.5,3,3,Out,2,23,0
3748,Dwayne Romel Smith,1983-04-12,40,Right hand Bat,Right arm Medium,Allrounder,20,Dwayne Romel Smith,33,2006-2015,582,72,18.18,0,7,30.28,0,8,0,-12.09,15,16,Out,3,24,9
3749,Odean Fabian Smith,1996-11-01,27,Right hand Bat,Right arm Fast medium,Bowling Allrounder,17,Odean Fabian Smith,27,2018-2023,193,27,14.84,0,27,28.59,0,12,0,-13.74,8,18,Not Out,3,29,5
3756,Jerome Everton Taylor,1984-06-22,39,Right hand Bat,Right arm Fast,Bowler,14,Jerome Everton Taylor,30,2006-2018,118,21,13.11,0,33,26.15,0,9,0,-13.04,13,15,Out,3,6,12
3757,Stafanie Roxann Taylor,1991-06-11,32,Right hand Bat,Right arm Offbreak,Allrounder,6,Stafanie Roxann Taylor,117,2008-2023,3236,90,35.17,0,98,16.72,0,36,0,18.44,66,48,Out,4,12,15
3759,Oshane Romaine Thomas,1997-02-18,26,Left hand Bat,Right arm Fast,Bowler,15,Oshane Romaine Thomas,21,2018-2023,9,8,2.25,0,21,30.38,1,2,0,-28.13,6,14,Not Out,5,28,5
3764,Hayden Rashidi Walsh,1992-04-23,31,Left hand Bat,Legbreak Googly,Bowler,11,Hayden Rashidi Walsh,38,2019-2022,150,28,15.0,0,31,26.58,0,9,0,-11.58,12,19,Out,3,23,3
3775,Kesrick Omari Kenal Williams,1990-01-17,34,Right hand Bat,Right arm Fast medium,Bowler,12,Kesrick Omari Kenal Williams,26,2016-2020,19,13,6.33,0,41,19.63,0,8,0,-13.3,10,15,Not Out,4,28,4
3780,Zaida Amiya James,2004-10-30,19,Left hand Bat,Slow Left arm Orthodox,Allrounder,5,Zaida Amiya James,10,2023-2023,23,21,7.66,0,1,123.0,0,2,0,-115.33,6,4,Not Out,1,34,0
3786,Brian John Bennett,2003-11-10,20,Right hand Bat,Right arm Offbreak,Allrounder,3,Brian John Bennett,6,2023-2024,92,29,18.4,0,1,4.0,0,1,0,14.4,2,4,Out,1,4,1
3791,Ryan Ponsonby Burl,1994-04-15,29,Left hand Bat,Legbreak,Middle order Batter,12,Ryan Ponsonby Burl,74,2018-2024,1156,57,26.88,0,49,21.3,0,39,0,5.57,31,41,Not Out,3,13,6
3797,Tendai Larry Chatara,1991-02-28,32,Right hand Bat,Right arm Fast medium,Bowler,14,Tendai Larry Chatara,56,2010-2023,49,8,8.16,0,62,23.38,0,7,0,-15.22,23,31,Out,3,7,13
3800,Chamunorwa Justice Chibhabha,1986-09-06,37,Right hand Bat,Right arm Medium,Top order Batter,17,Chamunorwa Justice Chibhabha,36,2006-2020,667,67,19.05,0,14,32.5,0,9,0,-13.44,4,31,Out,3,18,14
3802,Elton Chigumbura,1986-03-14,37,Right hand Bat,Right arm Fast medium,Allrounder,14,Elton Chigumbura,57,2006-2020,893,54,19.0,0,16,26.68,0,22,0,-7.68,10,45,Not Out,4,31,14
3817,Tendai Sam Chisoro,1988-02-12,36,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox",Bowler,9,Tendai Sam Chisoro,14,2015-2020,43,14,10.75,0,12,30.66,0,1,0,-19.91,3,11,Not Out,3,17,5
3825,Alexander Graeme Cremer,1986-09-19,37,Right hand Bat,Legbreak Googly,Bowler,7,Alexander Graeme Cremer,29,2008-2018,68,17,5.23,0,35,18.85,0,6,0,-13.62,7,22,Out,3,11,10
3838,Brad Evans,1997-03-24,26,Right hand Bat,Right arm Fast,Allrounder,4,Brad Evans,8,2022-2023,41,19,10.25,0,6,29.66,0,1,0,-19.41,4,4,Out,2,25,1
3861,Kyle Malcolm Jarvis,1989-02-16,34,Right hand Bat,Right arm Fast medium,Bowler,15,Kyle Malcolm Jarvis,22,2011-2019,55,27,7.85,0,28,23.75,0,5,0,-15.89,2,19,Out,3,15,8
3864,Luke Mafuwa Jongwe,1995-02-06,29,Right hand Bat,Right arm Fast medium,Allrounder,7,Luke Mafuwa Jongwe,58,2015-2024,468,35,17.33,0,58,21.6,0,13,0,-4.27,28,29,Out,4,18,9
3881,Natsai M'shangwe,1991-02-09,33,Right hand Bat,Legbreak,Bowler,6,Natsai M'shangwe,5,2013-2014,5,5,5.0,0,4,35.5,0,1,0,-30.5,2,3,Not Out,2,33,1
3885,Wessly Nyasha Madhevere,2000-09-04,23,Right hand Bat,Right arm Offbreak,Allrounder,7,Wessly Nyasha Madhevere,60,2020-2023,1047,73,20.94,0,13,35.76,0,23,0,-14.82,26,33,Not Out,2,8,3
3886,Neville Madziva,1991-08-02,32,Right hand Bat,Right arm Medium fast,Allrounder,9,Neville Madziva,15,2015-2019,88,28,17.6,0,12,34.75,0,4,0,-17.15,5,10,Not Out,4,34,4
3895,Timycen Hlahla Maruma,1988-04-19,35,Right hand Bat,Legbreak Googly,Top order Batter,14,Timycen Hlahla Maruma,13,2008-2019,100,23,11.11,0,1,20.0,0,5,0,-8.88,3,9,Not Out,1,8,11
3897,Hamilton Masakadza,1983-08-09,40,Right hand Bat,Right arm Medium,Top order Batter,10,Hamilton Masakadza,66,2006-2019,1662,93,25.96,0,2,56.5,0,25,0,-30.53,14,50,Not Out,1,4,13
3898,Shingirai Winston Masakadza,1986-09-04,37,Right hand Bat,Right arm Fast medium,Bowler,4,Shingirai Winston Masakadza,7,2010-2013,18,9,4.5,0,4,52.75,0,2,0,-48.25,1,6,Out,2,39,3
3899,Wellington Pedzisai Masakadza,1993-10-04,30,Left hand Bat,Slow Left arm Orthodox,Bowler,10,Wellington Pedzisai Masakadza,46,2015-2024,107,19,6.68,0,38,26.89,0,25,0,-20.2,20,26,Not Out,4,11,9
3910,Kelis Tanyaradzwa Ndhlovu,2005-11-16,18,Left hand Bat,"Slow Left arm Orthodox, Slow Left arm Orthodox",Allrounder,1,Kelis Tanyaradzwa Ndhlovu,28,2022-2024,518,58,23.54,0,27,16.74,0,2,0,6.8,18,10,Not Out,3,15,2
3913,Ainsley Ndlovu,1996-01-26,28,Right hand Bat,Slow Left arm Orthodox,Bowler,9,Ainsley Ndlovu,10,2019-2023,28,13,14.0,0,3,83.0,0,4,0,-69.0,3,7,Not Out,1,14,4
3930,Tinashe Panyangara,1985-10-21,38,Right hand Bat,Right arm Fast medium,Bowler,5,Tinashe Panyangara,14,2013-2016,23,17,23.0,0,20,19.9,0,2,0,3.1,6,8,Not Out,4,37,3
3947,Milton Shumba,2000-10-19,23,Left hand Bat,Slow Left arm Orthodox,Top order Batter,3,Milton Shumba,30,2020-2022,385,66,20.26,0,4,25.75,0,18,0,-5.48,16,13,Not Out,3,16,2
3951,Sikandar Raza Butt,1986-04-24,37,Right hand Bat,Right arm Offbreak,Batting Allrounder,38,Sikandar Raza Butt,81,2013-2024,1854,87,25.39,0,58,22.91,0,36,0,2.48,32,47,Out,4,8,11
3962,Brendan Ross Murray Taylor,1986-02-06,38,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,14,Brendan Ross Murray Taylor,45,2006-2021,934,75,23.94,0,1,17.0,0,20,2,6.94,8,36,Not Out,1,16,15
3969,Prosper Utseya,1985-03-26,38,Right hand Bat,Right arm Offbreak,Bowler,11,Prosper Utseya,35,2006-2015,94,13,7.83,0,26,33.0,0,6,0,-25.16,7,27,Not Out,3,25,9
3975,Sean Colin Williams,1986-09-26,37,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,14,Sean Colin Williams,79,2006-2024,1691,66,23.81,0,48,28.37,0,27,0,-4.55,32,45,Out,3,15,18
3978,Cephas Zhuwao,1984-12-15,39,Left hand Bat,Slow Left arm Orthodox,Batter,5,Cephas Zhuwao,7,2008-2018,48,24,6.85,0,1,1.0,0,2,0,5.85,1,5,Out,1,1,10
